0.1	5008.17
0.2	6859.53
0.45	9669.04
0.5	10092.2
0.55	10474
0.6	10852.9
0.65	11210.3
0.7	11533.5
0.75	11848.2
0.8	12145.2
0.85	12425.4
0.9	12716.9
0.95	12982.9
1	13244.3
2	17230.9
3	20089.2
4	22479.2
5	24578.5
6	26482.7
7	28244.2
8	29889.7
9	31455.7
10	32977.1
11	34436.5
12	35857.8
13	37220.7
14	38596
15	39882
16	41201.2
17	42480.3
18	43744.5
19	44975.4
20	46209
22.5	49217.7
25	52154
27.5	55041.8
30	57832.3
32.5	60685
35	63416.2
37.5	66211.7
40	68950.5
42.5	71667.2
45	74373.4
47.5	77065.9
50	79717.6
60	90405.1
70	100993
80	111584
90	122175
100	132774
120	154151
140	175763
160	197754
180	219970
200	242565
250	300175
300	360008
350	421533
400	485310
450	550838
500	618155
550	687549
600	758912
650	831152
700	906209
750	983095
800	1.06164e+06
850	1.14232e+06
