 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Butane, n-Butane (ICRU-340) (gas)2pt5MeVperu.txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  1.3800E-04 g/cm3 = 2.0017E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.300E+01  2.658E+00   17.99 mm     1.15 mm     1.26 mm  
   3.50 MeV   1.362E+01  2.535E+00   19.12 mm     1.19 mm     1.32 mm  
   3.75 MeV   1.421E+01  2.425E+00   20.22 mm     1.22 mm     1.37 mm  
   4.00 MeV   1.480E+01  2.325E+00   21.28 mm     1.26 mm     1.42 mm  
   4.50 MeV   1.594E+01  2.150E+00   23.32 mm     1.33 mm     1.51 mm  
   5.00 MeV   1.704E+01  2.003E+00   25.26 mm     1.40 mm     1.59 mm  
   5.50 MeV   1.814E+01  1.877E+00   27.11 mm     1.45 mm     1.66 mm  
   6.00 MeV   1.922E+01  1.768E+00   28.86 mm     1.50 mm     1.72 mm  
   6.50 MeV   2.031E+01  1.672E+00   30.54 mm     1.54 mm     1.78 mm  
   7.00 MeV   2.141E+01  1.588E+00   32.15 mm     1.58 mm     1.83 mm  
   8.00 MeV   2.363E+01  1.444E+00   35.15 mm     1.67 mm     1.92 mm  
   9.00 MeV   2.589E+01  1.327E+00   37.91 mm     1.75 mm     2.00 mm  
  10.00 MeV   2.818E+01  1.229E+00   40.46 mm     1.81 mm     2.07 mm  
  11.00 MeV   3.048E+01  1.146E+00   42.83 mm     1.86 mm     2.12 mm  
  12.00 MeV   3.277E+01  1.075E+00   45.03 mm     1.90 mm     2.17 mm  
  13.00 MeV   3.504E+01  1.013E+00   47.10 mm     1.94 mm     2.21 mm  
  14.00 MeV   3.726E+01  9.579E-01   49.05 mm     1.97 mm     2.25 mm  
  15.00 MeV   3.943E+01  9.094E-01   50.89 mm     1.99 mm     2.29 mm  
  16.00 MeV   4.153E+01  8.661E-01   52.64 mm     2.02 mm     2.32 mm  
  17.00 MeV   4.355E+01  8.270E-01   54.31 mm     2.04 mm     2.34 mm  
  18.00 MeV   4.550E+01  7.917E-01   55.90 mm     2.06 mm     2.37 mm  
  20.00 MeV   4.914E+01  7.302E-01   58.91 mm     2.12 mm     2.41 mm  
  22.50 MeV   5.321E+01  6.666E-01   62.40 mm     2.18 mm     2.46 mm  
  25.00 MeV   5.677E+01  6.141E-01   65.65 mm     2.24 mm     2.49 mm  
  27.50 MeV   5.986E+01  5.699E-01   68.72 mm     2.29 mm     2.53 mm  
  30.00 MeV   6.253E+01  5.321E-01   71.65 mm     2.34 mm     2.56 mm  
  32.50 MeV   6.483E+01  4.995E-01   74.47 mm     2.38 mm     2.58 mm  
  35.00 MeV   6.681E+01  4.709E-01   77.20 mm     2.41 mm     2.60 mm  
  37.50 MeV   6.851E+01  4.457E-01   79.86 mm     2.45 mm     2.63 mm  
  40.00 MeV   6.996E+01  4.232E-01   82.46 mm     2.48 mm     2.64 mm  
  45.00 MeV   7.229E+01  3.850E-01   87.52 mm     2.59 mm     2.68 mm  
  50.00 MeV   7.400E+01  3.536E-01   92.44 mm     2.68 mm     2.71 mm  
  55.00 MeV   7.525E+01  3.273E-01   97.28 mm     2.78 mm     2.74 mm  
  60.00 MeV   7.614E+01  3.049E-01  102.04 mm     2.86 mm     2.76 mm  
  65.00 MeV   7.676E+01  2.856E-01  106.76 mm     2.94 mm     2.78 mm  
  70.00 MeV   7.716E+01  2.687E-01  111.45 mm     3.02 mm     2.81 mm  
  80.00 MeV   7.746E+01  2.407E-01  120.79 mm     3.30 mm     2.85 mm  
  90.00 MeV   7.730E+01  2.184E-01  130.13 mm     3.56 mm     2.88 mm  
 100.00 MeV   7.683E+01  2.001E-01  139.50 mm     3.81 mm     2.92 mm  
 110.00 MeV   7.618E+01  1.848E-01  148.95 mm     4.04 mm     2.95 mm  
 120.00 MeV   7.542E+01  1.718E-01  158.49 mm     4.26 mm     2.98 mm  
 130.00 MeV   7.458E+01  1.607E-01  168.13 mm     4.48 mm     3.01 mm  
 140.00 MeV   7.372E+01  1.510E-01  177.88 mm     4.69 mm     3.04 mm  
 150.00 MeV   7.285E+01  1.424E-01  187.75 mm     4.90 mm     3.07 mm  
 160.00 MeV   7.198E+01  1.349E-01  197.73 mm     5.10 mm     3.10 mm  
 170.00 MeV   7.113E+01  1.282E-01  207.84 mm     5.30 mm     3.12 mm  
 180.00 MeV   7.054E+01  1.221E-01  218.05 mm     5.49 mm     3.15 mm  
 200.00 MeV   6.876E+01  1.117E-01  238.83 mm     6.24 mm     3.21 mm  
 225.00 MeV   6.691E+01  1.010E-01  265.50 mm     7.29 mm     3.27 mm  
 250.00 MeV   6.557E+01  9.231E-02  292.82 mm     8.26 mm     3.34 mm  
 275.00 MeV   6.434E+01  8.508E-02  320.67 mm     9.15 mm     3.41 mm  
 300.00 MeV   6.322E+01  7.896E-02  349.04 mm    10.00 mm     3.48 mm  
 325.00 MeV   6.218E+01  7.371E-02  377.91 mm    10.80 mm     3.55 mm  
 350.00 MeV   6.120E+01  6.915E-02  407.24 mm    11.58 mm     3.62 mm  
 375.00 MeV   6.029E+01  6.516E-02  437.03 mm    12.32 mm     3.69 mm  
 400.00 MeV   5.942E+01  6.162E-02  467.27 mm    13.05 mm     3.76 mm  
 450.00 MeV   5.778E+01  5.565E-02  529.06 mm    15.71 mm     3.90 mm  
 500.00 MeV   5.625E+01  5.079E-02  592.56 mm    18.10 mm     4.05 mm  
 550.00 MeV   5.480E+01  4.675E-02  657.77 mm    20.32 mm     4.20 mm  
 600.00 MeV   5.340E+01  4.334E-02  724.71 mm    22.42 mm     4.35 mm  
 650.00 MeV   5.204E+01  4.041E-02  793.40 mm    24.44 mm     4.51 mm  
 700.00 MeV   5.072E+01  3.788E-02  863.88 mm    26.40 mm     4.67 mm  
 800.00 MeV   4.817E+01  3.370E-02    1.01 m     33.57 mm     5.00 mm  
 900.00 MeV   4.575E+01  3.039E-02    1.16 m     40.05 mm     5.34 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3800E-03                 eV / Angstrom 
  1.3800E-02                keV / micron   
  1.3800E-02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  6.8938E+00                 eV / (1E15 atoms/cm2)
  3.4826E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
