 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Krypton [36] , Mass = 86 amu

 Target Density =  1.5900E-04 g/cm3 = 2.3064E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.300E+01  2.658E+00   15.61 mm   996.24 um     1.10 mm  
   3.50 MeV   1.362E+01  2.535E+00   16.59 mm     1.03 mm     1.15 mm  
   3.75 MeV   1.421E+01  2.425E+00   17.55 mm     1.06 mm     1.19 mm  
   4.00 MeV   1.480E+01  2.325E+00   18.47 mm     1.09 mm     1.23 mm  
   4.50 MeV   1.594E+01  2.150E+00   20.24 mm     1.16 mm     1.31 mm  
   5.00 MeV   1.704E+01  2.003E+00   21.93 mm     1.21 mm     1.38 mm  
   5.50 MeV   1.814E+01  1.877E+00   23.53 mm     1.26 mm     1.44 mm  
   6.00 MeV   1.922E+01  1.768E+00   25.05 mm     1.30 mm     1.49 mm  
   6.50 MeV   2.031E+01  1.672E+00   26.51 mm     1.34 mm     1.54 mm  
   7.00 MeV   2.141E+01  1.588E+00   27.90 mm     1.37 mm     1.59 mm  
   8.00 MeV   2.363E+01  1.444E+00   30.51 mm     1.45 mm     1.67 mm  
   9.00 MeV   2.589E+01  1.327E+00   32.90 mm     1.52 mm     1.74 mm  
  10.00 MeV   2.818E+01  1.229E+00   35.12 mm     1.57 mm     1.79 mm  
  11.00 MeV   3.048E+01  1.146E+00   37.17 mm     1.61 mm     1.84 mm  
  12.00 MeV   3.277E+01  1.075E+00   39.09 mm     1.65 mm     1.88 mm  
  13.00 MeV   3.504E+01  1.013E+00   40.88 mm     1.68 mm     1.92 mm  
  14.00 MeV   3.726E+01  9.579E-01   42.57 mm     1.71 mm     1.95 mm  
  15.00 MeV   3.943E+01  9.094E-01   44.17 mm     1.73 mm     1.98 mm  
  16.00 MeV   4.153E+01  8.661E-01   45.69 mm     1.75 mm     2.01 mm  
  17.00 MeV   4.355E+01  8.270E-01   47.13 mm     1.77 mm     2.03 mm  
  18.00 MeV   4.550E+01  7.917E-01   48.52 mm     1.79 mm     2.06 mm  
  20.00 MeV   4.914E+01  7.302E-01   51.13 mm     1.84 mm     2.09 mm  
  22.50 MeV   5.321E+01  6.666E-01   54.16 mm     1.90 mm     2.13 mm  
  25.00 MeV   5.677E+01  6.141E-01   56.98 mm     1.95 mm     2.17 mm  
  27.50 MeV   5.986E+01  5.699E-01   59.65 mm     1.99 mm     2.19 mm  
  30.00 MeV   6.253E+01  5.321E-01   62.19 mm     2.03 mm     2.22 mm  
  32.50 MeV   6.483E+01  4.995E-01   64.64 mm     2.06 mm     2.24 mm  
