 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 08, 2022
 ==================================================================

 Disk File Name = SRIM Outputs\Krypton in  H- C (gas).txt

 Ion = Krypton [36] , Mass = 85.9106 amu

 Target Density =  1.9100E-04 g/cm3 = 2.7705E+19 atoms/cm3
 Target is a GAS
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass
    Name   Numb   Percent   Percent
    ----   ----   -------   -------
      H      1    071.43    017.34
      C      6    028.57    082.66
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2)
 See bottom of Table for other Stopping units

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.75 MeV   1.422E+01  2.423E+00   14.60 mm   884.34 um   990.66 um
   4.00 MeV   1.481E+01  2.323E+00   15.37 mm   908.54 um     1.03 mm
   4.50 MeV   1.595E+01  2.149E+00   16.85 mm   962.77 um     1.09 mm
   5.00 MeV   1.705E+01  2.002E+00   18.25 mm     1.01 mm     1.15 mm
   5.50 MeV   1.815E+01  1.876E+00   19.58 mm     1.05 mm     1.20 mm
   6.00 MeV   1.924E+01  1.767E+00   20.85 mm     1.08 mm     1.24 mm
   6.50 MeV   2.033E+01  1.671E+00   22.06 mm     1.12 mm     1.28 mm
   7.00 MeV   2.143E+01  1.587E+00   23.22 mm     1.14 mm     1.32 mm
   8.00 MeV   2.365E+01  1.443E+00   25.39 mm     1.21 mm     1.39 mm
   9.00 MeV   2.591E+01  1.326E+00   27.38 mm     1.26 mm     1.44 mm
  10.00 MeV   2.821E+01  1.228E+00   29.22 mm     1.31 mm     1.49 mm
  11.00 MeV   3.051E+01  1.145E+00   30.93 mm     1.34 mm     1.53 mm
  12.00 MeV   3.280E+01  1.074E+00   32.52 mm     1.37 mm     1.57 mm
  13.00 MeV   3.507E+01  1.012E+00   34.02 mm     1.40 mm     1.60 mm
  14.00 MeV   3.729E+01  9.572E-01   35.42 mm     1.42 mm     1.63 mm
  15.00 MeV   3.946E+01  9.087E-01   36.75 mm     1.44 mm     1.65 mm
  16.00 MeV   4.156E+01  8.654E-01   38.01 mm     1.46 mm     1.67 mm
  17.00 MeV   4.359E+01  8.264E-01   39.22 mm     1.47 mm     1.69 mm
  18.00 MeV   4.553E+01  7.911E-01   40.37 mm     1.49 mm     1.71 mm
  20.00 MeV   4.917E+01  7.296E-01   42.54 mm     1.53 mm     1.74 mm
  22.50 MeV   5.325E+01  6.660E-01   45.06 mm     1.58 mm     1.77 mm
