 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane2.5MeVuRun, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 89 amu

 Target Density =  1.3840E-04 g/cm3 = 2.0075E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.340E+01  2.960E+00   16.53 mm     1.06 mm     1.16 mm  
   3.50 MeV   1.398E+01  2.825E+00   17.61 mm     1.10 mm     1.21 mm  
   3.75 MeV   1.457E+01  2.704E+00   18.66 mm     1.14 mm     1.26 mm  
   4.00 MeV   1.516E+01  2.594E+00   19.69 mm     1.17 mm     1.31 mm  
   4.50 MeV   1.639E+01  2.402E+00   21.65 mm     1.24 mm     1.39 mm  
   5.00 MeV   1.766E+01  2.240E+00   23.51 mm     1.31 mm     1.47 mm  
   5.50 MeV   1.896E+01  2.101E+00   25.26 mm     1.36 mm     1.54 mm  
   6.00 MeV   2.028E+01  1.980E+00   26.92 mm     1.41 mm     1.60 mm  
   6.50 MeV   2.163E+01  1.874E+00   28.49 mm     1.45 mm     1.65 mm  
   7.00 MeV   2.298E+01  1.780E+00   29.98 mm     1.48 mm     1.70 mm  
   8.00 MeV   2.569E+01  1.621E+00   32.74 mm     1.57 mm     1.79 mm  
   9.00 MeV   2.839E+01  1.490E+00   35.26 mm     1.63 mm     1.86 mm  
  10.00 MeV   3.102E+01  1.381E+00   37.57 mm     1.69 mm     1.92 mm  
  11.00 MeV   3.358E+01  1.289E+00   39.71 mm     1.73 mm     1.97 mm  
  12.00 MeV   3.604E+01  1.209E+00   41.71 mm     1.77 mm     2.01 mm  
  13.00 MeV   3.838E+01  1.140E+00   43.59 mm     1.80 mm     2.05 mm  
  14.00 MeV   4.060E+01  1.079E+00   45.36 mm     1.83 mm     2.09 mm  
