 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium88 in Butane, n-Butane (ICRU-340) (gas)2pt5MeVu.txt

 Ion = Strontium [38] , Mass = 88 amu

 Target Density =  1.3800E-04 g/cm3 = 2.0017E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.349E+01  2.938E+00   16.55 mm     1.06 mm     1.16 mm  
   3.50 MeV   1.407E+01  2.804E+00   17.63 mm     1.10 mm     1.21 mm  
   3.75 MeV   1.467E+01  2.684E+00   18.68 mm     1.14 mm     1.26 mm  
   4.00 MeV   1.527E+01  2.574E+00   19.70 mm     1.17 mm     1.31 mm  
   4.50 MeV   1.652E+01  2.384E+00   21.66 mm     1.25 mm     1.40 mm  
   5.00 MeV   1.781E+01  2.222E+00   23.51 mm     1.31 mm     1.47 mm  
   5.50 MeV   1.912E+01  2.084E+00   25.26 mm     1.36 mm     1.54 mm  
   6.00 MeV   2.047E+01  1.964E+00   26.91 mm     1.41 mm     1.60 mm  
   6.50 MeV   2.183E+01  1.859E+00   28.47 mm     1.45 mm     1.65 mm  
   7.00 MeV   2.319E+01  1.766E+00   29.95 mm     1.48 mm     1.70 mm  
   8.00 MeV   2.594E+01  1.607E+00   32.70 mm     1.57 mm     1.79 mm  
   9.00 MeV   2.866E+01  1.478E+00   35.21 mm     1.63 mm     1.86 mm  
  10.00 MeV   3.132E+01  1.370E+00   37.51 mm     1.69 mm     1.92 mm  
  11.00 MeV   3.389E+01  1.278E+00   39.64 mm     1.73 mm     1.97 mm  
  12.00 MeV   3.636E+01  1.199E+00   41.62 mm     1.77 mm     2.01 mm  
  13.00 MeV   3.872E+01  1.130E+00   43.49 mm     1.80 mm     2.05 mm  
  14.00 MeV   4.094E+01  1.069E+00   45.26 mm     1.83 mm     2.09 mm  
  15.00 MeV   4.304E+01  1.016E+00   46.94 mm     1.85 mm     2.12 mm  
  16.00 MeV   4.501E+01  9.675E-01   48.54 mm     1.88 mm     2.15 mm  
  17.00 MeV   4.686E+01  9.242E-01   50.09 mm     1.90 mm     2.17 mm  
  18.00 MeV   4.859E+01  8.850E-01   51.57 mm     1.91 mm     2.19 mm  
  20.00 MeV   5.172E+01  8.166E-01   54.41 mm     1.97 mm     2.24 mm  
  22.50 MeV   5.508E+01  7.458E-01   57.75 mm     2.04 mm     2.28 mm  
  25.00 MeV   5.794E+01  6.873E-01   60.91 mm     2.09 mm     2.32 mm  
  27.50 MeV   6.037E+01  6.381E-01   63.93 mm     2.15 mm     2.35 mm  
  30.00 MeV   6.248E+01  5.960E-01   66.85 mm     2.19 mm     2.38 mm  
  32.50 MeV   6.431E+01  5.596E-01   69.68 mm     2.23 mm     2.40 mm  
  35.00 MeV   6.591E+01  5.277E-01   72.44 mm     2.27 mm     2.43 mm  
  37.50 MeV   6.733E+01  4.996E-01   75.13 mm     2.31 mm     2.45 mm  
  40.00 MeV   6.860E+01  4.746E-01   77.78 mm     2.35 mm     2.47 mm  
  45.00 MeV   7.077E+01  4.319E-01   82.94 mm     2.46 mm     2.51 mm  
  50.00 MeV   7.258E+01  3.967E-01   87.96 mm     2.57 mm     2.54 mm  
  55.00 MeV   7.410E+01  3.673E-01   92.88 mm     2.67 mm     2.57 mm  
  60.00 MeV   7.539E+01  3.423E-01   97.70 mm     2.76 mm     2.59 mm  
  65.00 MeV   7.650E+01  3.206E-01  102.45 mm     2.84 mm     2.62 mm  
  70.00 MeV   7.744E+01  3.018E-01  107.13 mm     2.93 mm     2.64 mm  
  80.00 MeV   7.889E+01  2.705E-01  116.37 mm     3.21 mm     2.69 mm  
  90.00 MeV   7.988E+01  2.454E-01  125.46 mm     3.46 mm     2.72 mm  
 100.00 MeV   8.050E+01  2.249E-01  134.47 mm     3.70 mm     2.76 mm  
 110.00 MeV   8.082E+01  2.078E-01  143.43 mm     3.91 mm     2.79 mm  
