 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium89_2 in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 89 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.340E+01  2.960E+00   14.40 mm   923.87 um     1.01 mm  
   3.50 MeV   1.398E+01  2.825E+00   15.34 mm   957.85 um     1.05 mm  
   3.75 MeV   1.457E+01  2.704E+00   16.26 mm   989.14 um     1.10 mm  
   4.00 MeV   1.516E+01  2.594E+00   17.15 mm     1.02 mm     1.14 mm  
   4.50 MeV   1.639E+01  2.402E+00   18.86 mm     1.08 mm     1.21 mm  
   5.00 MeV   1.766E+01  2.240E+00   20.47 mm     1.14 mm     1.28 mm  
   5.50 MeV   1.896E+01  2.101E+00   22.00 mm     1.19 mm     1.34 mm  
   6.00 MeV   2.028E+01  1.980E+00   23.44 mm     1.23 mm     1.39 mm  
   6.50 MeV   2.163E+01  1.874E+00   24.81 mm     1.26 mm     1.44 mm  
   7.00 MeV   2.298E+01  1.780E+00   26.11 mm     1.29 mm     1.48 mm  
   8.00 MeV   2.569E+01  1.621E+00   28.52 mm     1.37 mm     1.56 mm  
   9.00 MeV   2.839E+01  1.490E+00   30.71 mm     1.42 mm     1.62 mm  
  10.00 MeV   3.102E+01  1.381E+00   32.72 mm     1.47 mm     1.67 mm  
  11.00 MeV   3.358E+01  1.289E+00   34.59 mm     1.51 mm     1.72 mm  
  12.00 MeV   3.604E+01  1.209E+00   36.33 mm     1.54 mm     1.75 mm  
  13.00 MeV   3.838E+01  1.140E+00   37.97 mm     1.57 mm     1.79 mm  
  14.00 MeV   4.060E+01  1.079E+00   39.51 mm     1.60 mm     1.82 mm  
  15.00 MeV   4.270E+01  1.025E+00   40.98 mm     1.62 mm     1.85 mm  
  16.00 MeV   4.467E+01  9.760E-01   42.39 mm     1.64 mm     1.87 mm  
  17.00 MeV   4.652E+01  9.323E-01   43.74 mm     1.66 mm     1.89 mm  
  18.00 MeV   4.825E+01  8.928E-01   45.04 mm     1.67 mm     1.91 mm  
  20.00 MeV   5.139E+01  8.238E-01   47.52 mm     1.72 mm     1.95 mm  
  22.50 MeV   5.477E+01  7.525E-01   50.43 mm     1.78 mm     1.99 mm  
  25.00 MeV   5.764E+01  6.935E-01   53.19 mm     1.83 mm     2.02 mm  
  27.50 MeV   6.009E+01  6.439E-01   55.83 mm     1.87 mm     2.05 mm  
  30.00 MeV   6.221E+01  6.015E-01   58.38 mm     1.91 mm     2.07 mm  
  32.50 MeV   6.405E+01  5.647E-01   60.85 mm     1.95 mm     2.10 mm  
  35.00 MeV   6.567E+01  5.326E-01   63.25 mm     1.98 mm     2.12 mm  
  37.50 MeV   6.710E+01  5.042E-01   65.60 mm     2.02 mm     2.14 mm  
  40.00 MeV   6.838E+01  4.789E-01   67.90 mm     2.05 mm     2.15 mm  
  45.00 MeV   7.057E+01  4.359E-01   72.40 mm     2.15 mm     2.19 mm  
  50.00 MeV   7.239E+01  4.004E-01   76.77 mm     2.24 mm     2.22 mm  
  55.00 MeV   7.392E+01  3.707E-01   81.05 mm     2.33 mm     2.24 mm  
  60.00 MeV   7.523E+01  3.455E-01   85.25 mm     2.41 mm     2.26 mm  
  65.00 MeV   7.635E+01  3.237E-01   89.38 mm     2.48 mm     2.29 mm  
  70.00 MeV   7.730E+01  3.046E-01   93.46 mm     2.55 mm     2.31 mm  
  80.00 MeV   7.878E+01  2.730E-01  101.49 mm     2.80 mm     2.34 mm  
  90.00 MeV   7.980E+01  2.478E-01  109.39 mm     3.02 mm     2.38 mm  
 100.00 MeV   8.045E+01  2.271E-01  117.22 mm     3.22 mm     2.41 mm  
 110.00 MeV   8.080E+01  2.098E-01  125.01 mm     3.41 mm     2.44 mm  
 120.00 MeV   8.091E+01  1.951E-01  132.77 mm     3.58 mm     2.46 mm  
 130.00 MeV   8.084E+01  1.825E-01  140.53 mm     3.75 mm     2.49 mm  
 140.00 MeV   8.063E+01  1.715E-01  148.31 mm     3.91 mm     2.51 mm  
 150.00 MeV   8.031E+01  1.618E-01  156.11 mm     4.07 mm     2.54 mm  
 160.00 MeV   7.990E+01  1.533E-01  163.95 mm     4.22 mm     2.56 mm  
 170.00 MeV   7.943E+01  1.456E-01  171.84 mm     4.36 mm     2.58 mm  
 180.00 MeV   7.899E+01  1.388E-01  179.77 mm     4.51 mm     2.61 mm  
 200.00 MeV   7.801E+01  1.269E-01  195.77 mm     5.05 mm     2.65 mm  
 225.00 MeV   7.611E+01  1.149E-01  216.16 mm     5.82 mm     2.70 mm  
 250.00 MeV   7.489E+01  1.050E-01  236.97 mm     6.52 mm     2.76 mm  
 275.00 MeV   7.364E+01  9.678E-02  258.13 mm     7.18 mm     2.81 mm  
 300.00 MeV   7.240E+01  8.984E-02  279.66 mm     7.80 mm     2.86 mm  
 325.00 MeV   7.117E+01  8.388E-02  301.55 mm     8.40 mm     2.91 mm  
 350.00 MeV   6.997E+01  7.870E-02  323.82 mm     8.97 mm     2.96 mm  
 375.00 MeV   6.880E+01  7.416E-02  346.48 mm     9.53 mm     3.02 mm  
 400.00 MeV   6.766E+01  7.015E-02  369.51 mm    10.07 mm     3.07 mm  
