 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 11, 2022 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Butane, n-Butane (ICRU-340) (gas).txt

 Ion = Strontium [38] , Mass = 87.91 amu

 Target Density =  1.5890E-04 g/cm3 = 2.3049E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   3.25 MeV   1.350E+01  2.936E+00   14.37 mm   923.53 um     1.01 mm  
   3.50 MeV   1.408E+01  2.802E+00   15.31 mm   957.28 um     1.06 mm  
   3.75 MeV   1.468E+01  2.682E+00   16.22 mm   988.34 um     1.10 mm  
   4.00 MeV   1.528E+01  2.573E+00   17.11 mm     1.02 mm     1.14 mm  
   4.50 MeV   1.653E+01  2.382E+00   18.81 mm     1.08 mm     1.21 mm  
   5.00 MeV   1.782E+01  2.221E+00   20.41 mm     1.14 mm     1.28 mm  
   5.50 MeV   1.914E+01  2.083E+00   21.93 mm     1.18 mm     1.34 mm  
   6.00 MeV   2.048E+01  1.963E+00   23.36 mm     1.22 mm     1.39 mm  
   6.50 MeV   2.184E+01  1.858E+00   24.72 mm     1.26 mm     1.44 mm  
   7.00 MeV   2.321E+01  1.764E+00   26.01 mm     1.29 mm     1.48 mm  
   8.00 MeV   2.596E+01  1.606E+00   28.39 mm     1.36 mm     1.55 mm  
   9.00 MeV   2.868E+01  1.477E+00   30.56 mm     1.42 mm     1.61 mm  
  10.00 MeV   3.135E+01  1.369E+00   32.56 mm     1.46 mm     1.67 mm  
  11.00 MeV   3.392E+01  1.277E+00   34.41 mm     1.50 mm     1.71 mm  
  12.00 MeV   3.639E+01  1.198E+00   36.13 mm     1.53 mm     1.75 mm  
  13.00 MeV   3.875E+01  1.129E+00   37.75 mm     1.56 mm     1.78 mm  
  14.00 MeV   4.097E+01  1.069E+00   39.28 mm     1.59 mm     1.81 mm  
  15.00 MeV   4.307E+01  1.015E+00   40.74 mm     1.61 mm     1.84 mm  
