E_MeV,theta_deg
12.303892520300952,56.22319926432383
10.820007683630894,62.80459988362251
18.008554098163042,29.834057632863566
4.828153513620204,97.72116177351745
17.055674334550574,34.78411500194347
5.850078498949918,89.70649287444749
17.821647814105667,30.567853874450392
4.958785672084853,96.45043857553576
13.497747257689706,50.77676899889124
9.505112415502449,68.72360428952315
13.309812705975865,51.45342788004151
9.642377968052674,67.94438033139436
13.690220780913421,49.899463164827736
9.29290847338693,69.72433256804368
15.900105925939823,40.56473099994273
7.1634514220755285,81.42077571138445
20.630802686511295,11.40179461884404
2.131559299828667,140.0457714152124
12.19142786299965,56.7707732965563
10.95691556458478,62.23876207547778
12.561811913460176,54.72604132125134
10.407258163653843,64.35342665629076
12.818852075788701,53.68574437114576
10.17936090007121,65.48421404424666
12.450293526501287,55.39687541663111
10.594942978608968,63.656918703127246
14.072640843654671,48.540421167248795
9.015785960574396,71.33788338785378
14.22832831414722,47.82774926569406
8.84266962855662,72.17944776974146
18.74614246523332,26.041209258859023
4.131427063300275,104.6121473011321
12.402339916099736,55.92545702340437
10.77502579315559,63.13035641303953
20.230883593332806,15.95057611084145
2.6130764484615376,127.18219020298658
18.962770569749377,24.77664605588748
3.910005216645973,107.06953585281363
17.26783696924472,34.077104066441294
5.72264102973663,90.82318141166323
12.879411702302557,53.70850982700881
10.232746127846305,65.48773655109794
17.636084134813434,32.190361396444445
5.325081104890272,93.81544250390603
14.175075129990944,47.9499187753017
8.85665159789828,72.0234734491144
15.98034328515785,40.18502748582706
7.075216406440599,81.93640692906365
15.827645855327255,40.443527768878276
7.092203138334474,81.54534685566983
14.825845559245042,44.92256829731852
8.12438295311435,75.70251039141895
14.340623531431174,47.14742240929789
8.657186272091778,72.97724287183097
19.131087831820604,23.886849986487235
3.7635822498386373,108.862098269806
19.672003499292433,20.376330211172036
3.2095145530396385,116.39422718388937
15.345587340112822,42.71741648896414
7.623755901883689,78.52852829505375
12.118311460690201,57.15941481025499
11.059495081248926,61.84279574462215
18.566381698013057,26.37930598573692
4.16271138178137,103.92149403241481
17.1986281448423,34.3664933266273
5.780734200710125,90.37101010591472
14.197244280292121,47.91115644659518
8.855332211620714,72.07511824131318
18.520476565892285,26.86553152263801
4.260064639750816,103.02497407395737
14.259267177866075,47.669424204818256
8.802158498716572,72.36626472167939
18.878003106187478,25.319021742770737
4.00566288152604,106.00742529156375
19.361978970317328,21.978822600220507
3.439449573534148,112.82534268852959
13.367570401783713,51.741084218669286
9.793908069782532,67.67387826572774
16.875129200156437,35.533423475766085
6.001783221358803,88.55998608074123
14.71730612660771,45.69676384231681
8.341484633540563,74.76691874272333
13.107835257872292,52.560109157586524
9.937808929033398,66.73197850275403
16.25480825279746,38.37335644321812
6.6168248792435325,84.40839544626292
16.55371493653357,37.29310954548691
6.403975574931664,85.98291334616646
15.588205995175297,41.562589427617894
7.351007899554007,80.04315903266314
16.621398083716766,37.083715601788114
6.366634944608318,86.2961553857454
18.191095461216666,28.52296321638283
4.55938958872637,99.99233358377117
15.472153270446821,42.39193501110119
7.574126398770198,78.9756520221224
19.916766308690214,18.119777895653428
2.880317715138858,121.67572063113069
17.37175686746484,33.75638709438498
5.667645615315076,91.33871686099292
19.172867122013827,22.85075367670927
3.566865422693688,110.9508990701092
19.949882831863608,18.141342554097506
2.8893521187871585,121.63686507749492
20.028829911230893,17.512399328467435
2.806079601140432,123.18577447675018
12.899032221078798,53.20343781847264
10.044928970945222,65.99751645927344
16.71048403745068,36.34721923970725
6.180078993740401,87.349147606695
17.602024270334084,32.441456166153785
5.3817254172566775,93.4151911394453
13.291585289689989,51.64371324785527
9.704193679293539,67.74144255235596
18.04586006472664,29.80784074786382
4.832137713551399,97.77933963572097
15.796531243414957,41.066832610295236
7.281934977826143,80.74588312478835
15.828495601164061,40.33496263132753
7.057508270156498,81.68374991586674
20.78623503727517,9.59150979769473
1.9863388020263661,145.7236282622236
15.578990698590701,41.476934400195944
7.318478745717005,80.14575494098204
13.681514752686862,49.76609828736124
9.236712437932448,69.86166037842823
20.80712383330452,8.653755803691283
1.914395116683787,148.7723988865935
19.59170340315486,19.965518229029733
3.123644650478097,117.27704354582104
15.911548297189327,40.30114392372593
7.08284185029584,81.76050210637048
18.20072023244601,28.694171352503293
4.602825434639857,99.70464809286612
19.656178696571658,20.543347028916386
3.235855575545399,116.01998063215812
13.009972754279953,52.697295420657646
9.923297012763621,66.55190953642601
12.492183294564363,55.51990294123658
10.678120686837488,63.556986238823214
14.406239973970504,47.04465552310516
8.657008661199006,73.11866570578515
15.362087343669728,42.96863942666881
7.717196185060504,78.23151194717602
20.706921085433372,10.557373803594993
2.060935207646275,142.65569155442415
13.229445305515174,52.06197286790956
9.825677977468693,67.28815925014618
20.036492170596,16.687916438217208
2.685916997919313,125.23158642833408
15.492280069350105,41.79992918257745
7.385422008310494,79.71032468288045
16.292528026465526,38.503551335359404
6.6724805933155995,84.25082667896207
15.192157090268555,43.46389667667375
7.803612942548943,77.56831791323981
19.66703739103548,19.64361130274188
3.082982023064562,118.03213087586646
13.86439566625497,49.43244351656936
9.224800798907197,70.29282507087187
15.578654260177238,41.411930427748885
7.296900434672127,80.22644094303124
11.755817655135337,58.27989386984604
11.224564093801458,60.64620576537331
18.93153685819504,25.076192467939048
3.966175969986163,106.4870089856472
15.14614854604035,43.556771809963244
7.812719243202482,77.43879251431471
13.338162066851789,51.878215512987865
9.8278585016498,67.52133995057777
18.310201192852425,28.53683559936194
4.594409789138942,100.01667592316934
16.116080235815566,39.096985597076404
